seat_pref,comp,gender,engage
1,2,1,2
2,3.5,2,2.3333333333333335
2,3,2,3.3333333333333335
2,4,1,3.6666666666666665
2,4.5,1,3
4,1,2,3
2,2.5,2,3.3333333333333335
2,2.5,2,3.3333333333333335
1,3,1,2.6666666666666665
2,3,1,2.6666666666666665
1,3.5,1,4
3,3.5,1,3
2,2,2,4
1,3.5,2,4.333333333333333
1,5,1,5
4,3.5,4,3.6666666666666665
2,2,1,3.6666666666666665
3,2,1,3.6666666666666665
2,1,4,4.666666666666667
2,3,1,4.333333333333333
1,4,1,4
1,2,1,3
1,2,1,4.666666666666667
1,4,1,4.333333333333333
2,1,2,NA
2,2.5,1,1.6666666666666667
2,4,2,3.6666666666666665
3,4.5,1,3.6666666666666665
3,4,1,3.6666666666666665
1,4,1,3.6666666666666665
2,4,1,3.6666666666666665
3,3,1,2.6666666666666665
1,3.5,2,4.666666666666667
4,2.5,4,2.3333333333333335
2,3,2,4
2,2,1,4.666666666666667
2,2,1,4.666666666666667
2,3.5,2,3.3333333333333335
3,1,1,4.333333333333333
3,5,2,4.666666666666667
2,4,2,4
1,2,2,4
2,2.5,1,3
2,4,2,3.6666666666666665
1,3,4,2
1,4.5,1,4.666666666666667
1,3.5,2,3.6666666666666665
3,4,1,3.6666666666666665
1,3,2,3
3,3,2,3
3,2.5,1,4
2,4,1,4.666666666666667
1,3,4,3.6666666666666665
4,3,1,4
2,2,2,4.333333333333333
2,4.5,1,3.3333333333333335
1,2.5,2,4
1,2,1,3
2,2,1,3
3,4.5,1,4.666666666666667
1,2,2,3.6666666666666665
2,1,2,4
2,4.5,2,4.333333333333333
3,4.5,2,4.333333333333333
